,,, ,, 
t_lr0.00125_0.2_0.01_64_8.log,r0.00125_0.2_0.01_64_8.log,_0.01_64_8.log, pt_lr0.00125_0.2_0.01_64_8.log,uee_hpt_lr0.00125_0.2_0.01_64_8.log, 
,,, ,, 
,,, ,, 
 0.0005,, 32,,4,, 0.0025,, 0.1,, 68.009
 0.0005,, 32,,4,, 0.005,, 0.1,, 67.719
 0.0005,, 32,,4,, 0.01,, 0.1,, 67.348
 0.0005,, 32,,4,, 0.02,, 0.1,, 66.593
 0.0005,, 32,,4,, 0.005,, 0.2,, 68.279
 0.0005,, 32,,4,, 0.01,, 0.2,, 68.008
 0.0005,, 32,,4,, 0.02,, 0.2,, 67.941
 0.0005,, 32,,4,, 0.005,, 0.3,, 69.119
 0.0005,, 32,,4,, 0.01,, 0.3,, 68.422
 0.0005,, 32,,4,, 0.02,, 0.3,, 68.058
 0.00075,, 32,,4,, 0.005,, 0.1,, 67.428
 0.00075,, 32,,4,, 0.01,, 0.1,, 67.034
 0.00075,, 32,,4,, 0.02,, 0.1,, 66.796
 0.00075,, 32,,4,, 0.005,, 0.2,, 68.057
 0.00075,, 32,,4,, 0.01,, 0.2,, 67.616
 0.00075,, 32,,4,, 0.02,, 0.2,, 67.881
 0.00075,, 32,,4,, 0.005,, 0.3,, 69.371
 0.00075,, 32,,4,, 0.01,, 0.3,, 68.165
 0.00075,, 64,,8,, 0.01,, 0.3,, 68.655
 0.00075,, 32,,4,, 0.02,, 0.3,, 67.979
 0.001,, 32,,4,, 0.0025,, 0.1,, 67.322
 0.001,, 32,,4,, 0.005,, 0.1,, 67.449
 0.001,, 64,,8,, 0.005,, 0.1,, 66.886
 0.001,, 32,,4,, 0.01,, 0.1,, 66.175
 0.001,, 32,,4,, 0.02,, 0.1,, 66.430
 0.001,, 64,,8,, 0.02,, 0.1,, 66.596
 0.001,, 32,,4,, 0.005,, 0.2,, 68.104
 0.001,, 32,,4,, 0.01,, 0.2,, 67.623
 0.001,, 32,,4,, 0.02,, 0.2,, 67.263
 0.001,, 32,,4,, 0.01,, 0.3,, 68.375
 0.00125,, 32,,4,, 0.005,, 0.1,, 67.783
 0.00125,, 64,,8,, 0.005,, 0.1,, 67.325
 0.00125,, 32,,4,, 0.01,, 0.1,, 66.191
 0.00125,, 64,,8,, 0.01,, 0.1,, 66.723
 0.00125,, 32,,4,, 0.02,, 0.1,, 65.927
 0.00125,, 64,,8,, 0.02,, 0.1,, 66.901
 0.00125,, 32,,4,, 0.005,, 0.2,, 67.881
 0.00125,, 64,,8,, 0.01,, 0.2,, 
 0.00125,, 32,,4,, 0.02,, 0.2,, 67.257
 0.00125,, 32,,4,, 0.005,, 0.3,, 68.376
 0.00125,, 32,,4,, 0.02,, 0.3,, 67.577
,,, ,, 
,,, ,, 
,,, ,, 
